Date,INDPRO
2010-01-01,89.2744
2010-02-01,89.5648
2010-03-01,90.2296
2010-04-01,90.5689
2010-05-01,91.8247
2010-06-01,92.007
2010-07-01,92.3967
2010-08-01,92.7118
2010-09-01,92.9252
2010-10-01,92.7115
2010-11-01,92.7535
2010-12-01,93.6492
2011-01-01,93.4768
2011-02-01,93.0617
2011-03-01,94.0244
2011-04-01,93.7011
2011-05-01,93.849
2011-06-01,94.0844
2011-07-01,94.5881
2011-08-01,95.1605
2011-09-01,95.0855
2011-10-01,95.6902
2011-11-01,95.7307
2011-12-01,96.2047
2012-01-01,96.7772
2012-02-01,97.051
2012-03-01,96.5714
2012-04-01,97.3139
2012-05-01,97.4669
2012-06-01,97.4577
2012-07-01,97.6786
2012-08-01,97.2842
2012-09-01,97.2295
2012-10-01,97.5344
2012-11-01,97.9837
2012-12-01,98.2122
2013-01-01,98.1664
2013-02-01,98.6458
2013-03-01,99.0597
2013-04-01,98.9927
2013-05-01,99.0726
2013-06-01,99.2065
2013-07-01,98.9204
2013-08-01,99.4996
2013-09-01,100.0568
2013-10-01,99.9168
2013-11-01,100.1762
2013-12-01,100.3658
2014-01-01,100.038
2014-02-01,100.7918
2014-03-01,101.7782
2014-04-01,101.8337
2014-05-01,102.2325
2014-06-01,102.5722
2014-07-01,102.8479
2014-08-01,102.6491
2014-09-01,102.9858
2014-10-01,102.9911
2014-11-01,103.6669
2014-12-01,103.6139
2015-01-01,102.8479
2015-02-01,102.2292
2015-03-01,101.8945
2015-04-01,101.2859
2015-05-01,100.8408
2015-06-01,100.5063
2015-07-01,101.1831
2015-08-01,100.9115
2015-09-01,100.568
2015-10-01,100.1588
2015-11-01,99.4099
2015-12-01,98.8329
2016-01-01,99.4797
2016-02-01,98.9583
2016-03-01,98.1954
2016-04-01,98.4673
2016-05-01,98.2889
2016-06-01,98.7201
2016-07-01,98.8992
2016-08-01,98.7249
2016-09-01,98.606
2016-10-01,98.6703
2016-11-01,98.2288
2016-12-01,98.8958
2017-01-01,98.7446
2017-02-01,98.3676
2017-03-01,99.1065
2017-04-01,100.0363
2017-05-01,100.147
2017-06-01,100.3042
2017-07-01,100.2092
2017-08-01,99.7055
2017-09-01,99.7485
2017-10-01,100.988
2017-11-01,101.273
2017-12-01,101.3696
2018-01-01,101.3561
2018-02-01,101.6495
2018-03-01,102.298
2018-04-01,103.4095
2018-05-01,102.5408
2018-06-01,103.3045
2018-07-01,103.5474
2018-08-01,104.1659
2018-09-01,104.1315
2018-10-01,103.9874
2018-11-01,103.9127
2018-12-01,103.867
2019-01-01,103.3023
2019-02-01,102.728
2019-03-01,102.8635
2019-04-01,102.2543
2019-05-01,102.4519
2019-06-01,102.384
2019-07-01,102.0568
2019-08-01,102.6882
2019-09-01,102.3143
2019-10-01,101.4645
2019-11-01,101.9876
2019-12-01,101.6179
2020-01-01,101.0918
