Date,value
1/1/2010,1267
2/1/2010,1350
3/1/2010,1419
4/1/2010,1479
5/1/2010,1513
6/1/2010,1531
7/1/2010,1573
8/1/2010,1638
9/1/2010,1655
10/1/2010,1668
11/1/2010,1683
12/1/2010,1711
1/1/2011,1711
2/1/2011,1718
3/1/2011,1720
4/1/2011,1790
5/1/2011,1836
6/1/2011,1863
7/1/2011,1900
8/1/2011,1957
9/1/2011,1978
10/1/2011,2017
11/1/2011,2011
12/1/2011,2003
1/1/2012,2003
2/1/2012,1990
3/1/2012,1979
4/1/2012,1961
5/1/2012,1977
6/1/2012,1972
7/1/2012,1944
8/1/2012,1913
9/1/2012,1859
10/1/2012,1834
11/1/2012,1809
12/1/2012,1784
1/1/2013,1756
2/1/2013,1762
3/1/2013,1756
4/1/2013,1755
5/1/2013,1767
6/1/2013,1761
7/1/2013,1766
8/1/2013,1781
9/1/2013,1760
10/1/2013,1744
11/1/2013,1756
12/1/2013,1771
1/1/2014,1769
2/1/2014,1769
3/1/2014,1803
4/1/2014,1835
5/1/2014,1859
6/1/2014,1861
7/1/2014,1876
8/1/2014,1904
9/1/2014,1930
10/1/2014,1924
11/1/2014,1925
12/1/2014,1882
1/1/2015,1683
2/1/2015,1348
3/1/2015,1109
4/1/2015,976
5/1/2015,889
6/1/2015,861
7/1/2015,866
8/1/2015,883
9/1/2015,848
10/1/2015,791
11/1/2015,760
12/1/2015,711
1/1/2016,643
2/1/2016,532
3/1/2016,477
4/1/2016,437
5/1/2016,407
6/1/2016,417
7/1/2016,449
8/1/2016,481
9/1/2016,509
10/1/2016,543
11/1/2016,580
12/1/2016,634
1/1/2017,683
2/1/2017,744
3/1/2017,789
4/1/2017,853
5/1/2017,893
6/1/2017,931
7/1/2017,953
8/1/2017,947
9/1/2017,940
10/1/2017,922
11/1/2017,911
12/1/2017,930
1/1/2018,937
2/1/2018,969
3/1/2018,989
4/1/2018,1011
5/1/2018,1046
6/1/2018,1056
7/1/2018,1050
8/1/2018,1050
9/1/2018,1053
10/1/2018,1063
11/1/2018,1077
12/1/2018,1077
1/1/2019,1065
2/1/2019,1048
3/1/2019,1023
4/1/2019,1013
5/1/2019,986
6/1/2019,970
7/1/2019,955
8/1/2019,926
9/1/2019,878
10/1/2019,848
11/1/2019,810
12/1/2019,804
1/1/2020,791
