Date,Total
1/1/2010,72.92
2/1/2010,73.63
3/1/2010,73.69
4/1/2010,73.63
5/1/2010,73.75
6/1/2010,73.87
7/1/2010,74.15
8/1/2010,74.07
9/1/2010,74.38
10/1/2010,74.24
11/1/2010,74.85
12/1/2010,74.9
1/1/2011,75.37
2/1/2011,74.48
3/1/2011,73.49
4/1/2011,73.45
5/1/2011,72.69
6/1/2011,73.41
7/1/2011,73.72
8/1/2011,74.28
9/1/2011,73.77
10/1/2011,74.27
11/1/2011,75.23
12/1/2011,75.91
1/1/2012,76.04
2/1/2012,76.36
3/1/2012,76.06
4/1/2012,75.35
5/1/2012,75.65
6/1/2012,75.54
7/1/2012,75.71
8/1/2012,75.77
9/1/2012,75.27
10/1/2012,75.76
11/1/2012,76.52
12/1/2012,76.57
1/1/2013,75.89
2/1/2013,75.62
3/1/2013,75.8
4/1/2013,76.24
5/1/2013,76.19
6/1/2013,76.19
7/1/2013,76.69
8/1/2013,76.43
9/1/2013,75.88
10/1/2013,76.26
11/1/2013,76.58
12/1/2013,76.91
1/1/2014,77.26
2/1/2014,77.76
3/1/2014,77.18
4/1/2014,77.25
5/1/2014,76.98
6/1/2014,77.35
7/1/2014,77.61
8/1/2014,77.96
9/1/2014,78.75
10/1/2014,79.41
11/1/2014,79.5
12/1/2014,80.31
1/1/2015,79.73
2/1/2015,79.52
3/1/2015,80.42
4/1/2015,80.02
5/1/2015,79.98
6/1/2015,80.4
7/1/2015,80.92
8/1/2015,80.77
9/1/2015,80.56
10/1/2015,80.71
11/1/2015,81.29
12/1/2015,81.45
1/1/2016,81.47
2/1/2016,80.71
3/1/2016,80.68
4/1/2016,79.78
5/1/2016,79.19
6/1/2016,79.89
7/1/2016,80.61
8/1/2016,80.06
9/1/2016,80.43
10/1/2016,81.57
11/1/2016,82.63
12/1/2016,82.09
1/1/2017,81.17
2/1/2017,81.16
3/1/2017,80.35
4/1/2017,79.93
5/1/2017,80.53
6/1/2017,81.08
7/1/2017,81.59
8/1/2017,80.98
9/1/2017,82.19
10/1/2017,81.34
11/1/2017,82.01
12/1/2017,81.74
1/1/2018,82.24
2/1/2018,82.4
3/1/2018,82.21
4/1/2018,81.86
5/1/2018,81.59
6/1/2018,82.24
7/1/2018,82.67
8/1/2018,83.21
9/1/2018,83.2
10/1/2018,84.33
11/1/2018,84.49
12/1/2018,84.23
1/1/2019,82.91
2/1/2019,82.61
3/1/2019,82.54
4/1/2019,82.3
5/1/2019,81.71
6/1/2019,81.93
7/1/2019,81.26
8/1/2019,82.4
9/1/2019,80.73
10/1/2019,82.47
11/1/2019,83.37
12/1/2019,83.32
1/1/2020,83.02
